Date,Series,Value,Series,Value
11/14/2017,Volume Intensity,0.0001,Average Tone,-1.484
11/15/2017,Volume Intensity,0.0003,Average Tone,-1.0834
11/16/2017,Volume Intensity,0,Average Tone,0
11/17/2017,Volume Intensity,0.0003,Average Tone,-0.8757
11/18/2017,Volume Intensity,0.0002,Average Tone,-1.4977
11/19/2017,Volume Intensity,0.0003,Average Tone,-0.3674
11/20/2017,Volume Intensity,0.0022,Average Tone,-0.6298
11/21/2017,Volume Intensity,0.0001,Average Tone,-1.7167
11/22/2017,Volume Intensity,0,Average Tone,0
11/23/2017,Volume Intensity,0.0002,Average Tone,-1.6103
11/24/2017,Volume Intensity,0,Average Tone,0
11/25/2017,Volume Intensity,0,Average Tone,0
11/26/2017,Volume Intensity,0,Average Tone,0
11/27/2017,Volume Intensity,0.0002,Average Tone,-4.3036
11/28/2017,Volume Intensity,0.0003,Average Tone,0.9178
11/29/2017,Volume Intensity,0.0004,Average Tone,0.9705
11/30/2017,Volume Intensity,0.0004,Average Tone,-1.0142
12/3/2017,Volume Intensity,0.0003,Average Tone,-3.3582
12/4/2017,Volume Intensity,0.0002,Average Tone,1.1617
12/5/2017,Volume Intensity,0,Average Tone,0
12/6/2017,Volume Intensity,0.0003,Average Tone,-1.6934
12/7/2017,Volume Intensity,0,Average Tone,0
12/8/2017,Volume Intensity,0.0005,Average Tone,1.9253
12/9/2017,Volume Intensity,0.0003,Average Tone,1.8495
12/10/2017,Volume Intensity,0,Average Tone,0
12/11/2017,Volume Intensity,0.0002,Average Tone,-9.482
12/12/2017,Volume Intensity,0,Average Tone,0
12/13/2017,Volume Intensity,0,Average Tone,0
12/14/2017,Volume Intensity,0.0001,Average Tone,-4.662
12/15/2017,Volume Intensity,0.0002,Average Tone,-0.6374
12/16/2017,Volume Intensity,0.0003,Average Tone,-2.7273
12/17/2017,Volume Intensity,0.0006,Average Tone,0.0339
12/18/2017,Volume Intensity,0,Average Tone,0
12/19/2017,Volume Intensity,0.0003,Average Tone,-4.3481
12/20/2017,Volume Intensity,0,Average Tone,0
12/21/2017,Volume Intensity,0,Average Tone,0
12/22/2017,Volume Intensity,0.0003,Average Tone,-0.9305
12/23/2017,Volume Intensity,0.0005,Average Tone,-4.6042
12/24/2017,Volume Intensity,0.0006,Average Tone,-2.6796
12/25/2017,Volume Intensity,0,Average Tone,0
12/26/2017,Volume Intensity,0,Average Tone,0
12/27/2017,Volume Intensity,0,Average Tone,0
12/28/2017,Volume Intensity,0.0002,Average Tone,3.937
12/29/2017,Volume Intensity,0.0004,Average Tone,-4.6738
12/30/2017,Volume Intensity,0,Average Tone,0
12/31/2017,Volume Intensity,0,Average Tone,0
1/1/2018,Volume Intensity,0,Average Tone,0
1/2/2018,Volume Intensity,0.0002,Average Tone,-2.1925
1/3/2018,Volume Intensity,0,Average Tone,0
1/4/2018,Volume Intensity,0.0003,Average Tone,-1.4482
1/5/2018,Volume Intensity,0.0002,Average Tone,-1.4903
1/6/2018,Volume Intensity,0,Average Tone,0
1/7/2018,Volume Intensity,0.0006,Average Tone,-4.1667
1/8/2018,Volume Intensity,0.0002,Average Tone,-1.4925
1/9/2018,Volume Intensity,0.0003,Average Tone,-4.5154
1/10/2018,Volume Intensity,0.0003,Average Tone,0.8932
1/11/2018,Volume Intensity,0.0003,Average Tone,-2.6119
1/12/2018,Volume Intensity,0.0003,Average Tone,-4.0035
1/13/2018,Volume Intensity,0,Average Tone,0
1/14/2018,Volume Intensity,0,Average Tone,0
1/15/2018,Volume Intensity,0.0004,Average Tone,-1.4815
1/16/2018,Volume Intensity,0,Average Tone,0
1/17/2018,Volume Intensity,0.0003,Average Tone,-3.6605
1/18/2018,Volume Intensity,0.0002,Average Tone,-5.3779
1/19/2018,Volume Intensity,0.0003,Average Tone,2.3843
1/20/2018,Volume Intensity,0.0003,Average Tone,1.4925
1/21/2018,Volume Intensity,0,Average Tone,0
1/22/2018,Volume Intensity,0.0002,Average Tone,2.0328
1/23/2018,Volume Intensity,0.0002,Average Tone,-6.1385
1/24/2018,Volume Intensity,0,Average Tone,0
1/25/2018,Volume Intensity,0,Average Tone,0
1/26/2018,Volume Intensity,0,Average Tone,0
1/27/2018,Volume Intensity,0.0005,Average Tone,-6.8063
1/28/2018,Volume Intensity,0.0008,Average Tone,-1.9959
1/29/2018,Volume Intensity,0.0002,Average Tone,0.5488
1/30/2018,Volume Intensity,0.0002,Average Tone,0.5319
1/31/2018,Volume Intensity,0.0002,Average Tone,2.2613
2/1/2018,Volume Intensity,0.0002,Average Tone,-4.902
2/2/2018,Volume Intensity,0.0005,Average Tone,-2.5112
2/3/2018,Volume Intensity,0,Average Tone,0
2/4/2018,Volume Intensity,0.0003,Average Tone,0.1757
2/5/2018,Volume Intensity,0,Average Tone,0
2/6/2018,Volume Intensity,0.0004,Average Tone,-0.1722
2/7/2018,Volume Intensity,0,Average Tone,0
2/8/2018,Volume Intensity,0,Average Tone,0
2/9/2018,Volume Intensity,0.0002,Average Tone,-2.9487
